RSI(14)_value,RSI(14)_status,"STOCH(9,6)_value","STOCH(9,6)_status",STOCHRSI(14)_value,STOCHRSI(14)_status,"MACD(12,26)_value","MACD(12,26)_status",ATR(14)_value,ATR(14)_status,ADX(14)_value,ADX(14)_status,CCI(14)_value,CCI(14)_status,Highs/Lows(14)_value,Highs/Lows(14)_status,UO_value,UO_status,ROC_value,ROC_status,WilliamsR_value,WilliamsR_status,BullBear(13)_value,BullBear(13)_status,Summary_value,Summary_status,Fiyat,Degisim,Hisse,Tarih,MA5_state,MA5_value,MA10_state,MA10_value,MA20_state,MA20_value,MA50_state,MA50_value,MA100_state,MA100_value,MA200_state,MA200_value,Summary_state,Summary_value
46.825,Neutral,25.003,Sell,22.561,Oversold,-0.179,Sell,0.4450,Less Volatility,30.516,Buy,-65.5992,Sell,-0.1136,Sell,33.951,Sell,-3.724,Sell,-80.625,Oversold,0.0360,Buy,Buy (2) ,Strong Sell,8.79,+1.85,KARSN,2023-03-23,SAT,8.824,SAT,8.840,SAT,8.975,SAT,9.255,SAT,10.713,SAT,9.272,SAT,Buy (1)
47.017,Neutral,23.824,Sell,16.277,Oversold,-0.070,Sell,1.4943,Less Volatility,42.165,Sell,-86.1557,Sell,-1.1671,Sell,45.451,Sell,-5.052,Sell,-80.745,Oversold,-1.5960,Sell,Buy (0) ,Strong Sell,41.66,-0.05,SAHOL,2023-03-23,AL,41.52,SAT,42.65,SAT,43.48,AL,41.52,AL,40.66,AL,32.49,neutral,Buy (6)
55.378,Buy,39.235,Sell,38.953,Sell,0.257,Buy,0.6336,High Volatility,36.458,Buy,-31.7414,Neutral,0.0000,Neutral,45.230,Sell,10.672,Buy,-51.807,Neutral,0.1880,Buy,Buy (5) ,Buy,8.35,+3.60,MNDRS,2023-03-23,AL,8.034,SAT,8.435,AL,8.134,AL,7.252,AL,7.950,AL,6.502,AL,Buy (11)
44.876,Sell,24.558,Sell,36.245,Sell,-0.880,Sell,1.5243,Less Volatility,22.389,Buy,-69.3637,Sell,-0.2900,Sell,37.170,Sell,1.403,Buy,-71.731,Sell,-1.1660,Sell,Buy (2) ,Strong Sell,31.66,+0.44,TCELL,2023-03-23,AL,31.36,SAT,32.52,SAT,32.39,SAT,34.51,SAT,34.19,AL,27.10,SAT,Buy (4)
44.431,Sell,21.668,Sell,31.940,Sell,-0.260,Sell,0.4679,Less Volatility,32.507,Neutral,-84.7089,Sell,-0.2343,Sell,37.475,Sell,-7.428,Sell,-76.471,Sell,-0.4900,Sell,Buy (0) ,Strong Sell,9.95,+1.53,ISGYO,2023-03-23,AL,9.864,SAT,10.220,SAT,10.476,SAT,10.715,SAT,10.044,SAT,11.956,SAT,Buy (2)
44.315,Sell,21.262,Sell,21.182,Oversold,-0.062,Sell,0.1171,Less Volatility,28.744,Neutral,-85.9903,Sell,-0.0836,Sell,39.495,Sell,-1.307,Sell,-80.435,Oversold,-0.1220,Sell,Buy (0) ,Strong Sell,3.02,+1.00,GSDHO,2023-03-23,AL,3.010,SAT,3.095,SAT,3.132,SAT,3.199,SAT,3.334,AL,2.691,SAT,Buy (3)
51.220,Neutral,52.164,Neutral,41.102,Sell,0.021,Buy,0.2093,High Volatility,58.843,Buy,38.2723,Neutral,0.0000,Neutral,48.081,Sell,6.357,Buy,-61.039,Sell,0.0980,Buy,Buy (4) ,Buy,4.35,-0.46,DARDL,2023-03-23,SAT,4.458,SAT,4.353,AL,4.258,AL,4.339,SAT,4.925,SAT,4.446,SAT,Buy (3)
40.423,Sell,15.331,Oversold,38.534,Sell,-0.115,Sell,0.1243,Less Volatility,38.109,Sell,-84.2377,Sell,-0.0729,Sell,31.145,Sell,-10.781,Sell,-80.769,Oversold,-0.1980,Sell,Buy (0) ,Strong Sell,2.41,+3.43,KLGYO,2023-03-23,AL,2.362,SAT,2.469,SAT,2.606,SAT,2.751,SAT,3.000,AL,2.203,SAT,Buy (4)
54.487,Neutral,54.093,Neutral,26.322,Sell,0.085,Buy,0.1500,High Volatility,41.654,Buy,13.9210,Neutral,0.0000,Neutral,33.929,Sell,21.935,Buy,-55.405,Sell,0.0320,Buy,Buy (4) ,Buy,1.89,-2.07,YGYO,2023-03-23,SAT,1.972,SAT,2.001,AL,1.791,AL,1.737,AL,1.637,AL,1.268,AL,Buy (8)
47.861,Neutral,25.250,Sell,0.000,Oversold,0.060,Buy,0.1929,Less Volatility,27.954,Sell,-46.9864,Neutral,-0.0679,Sell,30.420,Sell,2.841,Buy,-87.952,Oversold,-0.1840,Sell,Buy (2) ,Sell,3.63,+0.28,MOBTL,2023-03-23,SAT,3.71,SAT,3.85,SAT,3.71,AL,3.56,SAT,3.76,AL,3.00,SAT,Buy (4)
43.363,Sell,15.117,Oversold,18.340,Oversold,-0.446,Sell,1.1886,Less Volatility,36.083,Sell,-92.6944,Sell,-1.6671,Sell,26.558,Oversold,-10.633,Sell,-87.087,Oversold,-2.0820,Sell,Buy (0) ,Strong Sell,29.06,+1.75,ENKAI,2023-03-23,AL,29.028,SAT,30.190,SAT,31.296,SAT,30.227,AL,27.751,AL,23.090,SAT,Buy (5)
57.884,Buy,49.581,Neutral,88.791,Overbought,0.250,Buy,0.6493,Less Volatility,32.823,Buy,127.8498,Buy,0.1593,Buy,43.258,Sell,8.927,Buy,-25.134,Buy,1.3140,Buy,Buy (8) ,Strong Buy,11.47,+1.15,POLHO,2023-03-23,AL,11.116,AL,10.837,AL,10.740,AL,10.187,SAT,11.644,AL,8.971,AL,Buy (11)
39.807,Sell,16.070,Oversold,9.032,Oversold,-0.153,Sell,0.1886,Less Volatility,51.665,Sell,-97.9943,Sell,-0.3571,Sell,25.712,Oversold,-16.549,Sell,-92.064,Oversold,-0.3660,Sell,Buy (0) ,Strong Sell,4.76,+0.63,ZOREN,2023-03-23,SAT,4.778,SAT,4.931,SAT,5.195,SAT,5.179,SAT,6.124,AL,4.522,SAT,Buy (2)
41.867,Sell,35.417,Sell,0.000,Oversold,-0.030,Sell,0.0521,Less Volatility,34.925,Sell,-131.7950,Sell,-0.0443,Sell,41.265,Sell,-5.505,Sell,-88.235,Oversold,-0.0600,Sell,Buy (0) ,Strong Sell,1.04,-1.89,IHGZT,2023-03-23,SAT,1.060,SAT,1.090,SAT,1.086,SAT,1.155,SAT,1.205,AL,0.950,SAT,Buy (2)
48.625,Neutral,32.843,Sell,70.310,Buy,-0.100,Sell,0.4243,Less Volatility,15.689,Neutral,34.1035,Neutral,0.0000,Neutral,28.618,Oversold,-0.096,Sell,-52.941,Neutral,0.2580,Buy,Buy (2) ,Sell,10.34,-1.24,EUREN,2023-03-23,AL,10.24,AL,10.28,SAT,10.48,SAT,10.65,SAT,12.41,AL,9.82,AL,Buy (7)
44.996,Sell,28.947,Sell,0.000,Oversold,-0.287,Sell,4.9214,Less Volatility,20.734,Neutral,-133.9687,Sell,-3.8714,Sell,37.427,Sell,-2.860,Sell,-94.079,Oversold,-7.1180,Sell,Buy (0) ,Strong Sell,105.4,-0.85,SASA,2023-03-23,SAT,107.460,SAT,111.050,SAT,110.175,SAT,108.831,SAT,117.729,AL,87.577,SAT,Buy (3)
75.358,Overbought,67.622,Buy,100.000,Overbought,0.170,Buy,0.1536,High Volatility,76.512,Overbought,183.4451,Buy,0.3286,Buy,58.172,Buy,23.899,Buy,-7.229,Overbought,0.6580,Buy,Buy (7) ,Strong Buy,3.93,+0.26,PEKGY,2023-03-23,AL,3.80,AL,3.65,AL,3.44,AL,3.29,AL,3.32,AL,2.58,AL,Buy (12)
49.935,Neutral,26.356,Sell,21.035,Oversold,0.090,Buy,3.8179,Less Volatility,26.234,Neutral,-54.5227,Sell,-0.9357,Sell,45.801,Sell,0.760,Buy,-71.478,Sell,-0.2360,Sell,Buy (2) ,Strong Sell,79.4,-0.50,KCHOL,2023-03-23,AL,78.27,SAT,80.40,SAT,81.00,AL,77.83,AL,73.86,AL,59.12,AL,Buy (8)
